ID,Location,Area,Bedroom,Bathroom,Frontage,Floors,Price
268184,"Quận 12, TP Hồ Chí Minh",130,7.0,6.0,0,3.0,9.2 tỷ
267895,"Quận 6, TP Hồ Chí Minh",189,,,1,,24 tỷ
268639,"Gò Vấp, TP Hồ Chí Minh",52,4.0,5.0,0,6.0,9.8 tỷ
268638,"Gò Vấp, TP Hồ Chí Minh",105,5.0,2.0,1,4.0,8 tỷ
268637,"Sơn Trà, Đà Nẵng",115,3.0,2.0,1,2.0,6.2 tỷ
268632,"Hồng Bàng, Hải Phòng",48,4.0,5.0,0,5.0,5.9 tỷ
268623,"Long Biên, Hà Nội",36,,1.0,0,4.0,3.4 tỷ
268621,"Tân Bình, TP Hồ Chí Minh",48,3.0,,0,3.0,5.5 tỷ
268620,"Hồng Bàng, Hải Phòng",78,4.0,4.0,1,4.0,13.2 tỷ
268619,"Thủ Đức, TP Hồ Chí Minh",56,2.0,2.0,1,2.0,4700000 tỷ
268618,"Bình Tân, TP Hồ Chí Minh",36,,,1,3.0,3.45 tỷ
268617,"Bình Tân, TP Hồ Chí Minh",50,,,1,5.0,5.5 tỷ
268616,"Quận 9, TP Hồ Chí Minh",106,3.0,2.0,0,2.0,4900000 tỷ
268613,"Bình Tân, TP Hồ Chí Minh",36,,,1,3.0,3.5 tỷ
268612,"Bình Tân, TP Hồ Chí Minh",50,4.0,,1,7.0,5.9 tỷ
268609,"Bình Thạnh, TP Hồ Chí Minh",35,2.0,3.0,0,3.0,3.88 tỷ
268608,"Bình Chánh, TP Hồ Chí Minh",65,3.0,3.0,1,2.0,2.7 tỷ
268600,"Tân Phú, TP Hồ Chí Minh",42,2.0,2.0,1,,3.2 tỷ
268599,"Quận 11, TP Hồ Chí Minh",20,,,1,2.0,2.5 tỷ
268598,"Tân Phú, TP Hồ Chí Minh",30,2.0,2.0,0,3.0,4.1 tỷ
268596,"Tân Bình, TP Hồ Chí Minh",40,2.0,2.0,0,3.0,4900000000 tỷ
268595,"Đống Đa, Hà Nội",60,4.0,3.0,0,4.0,10.3 tỷ
268594,"Đống Đa, Hà Nội",51,4.0,6.0,0,7.0,12.8 tỷ
268592,"Tân Uyên, Bình Dương",120,,,1,2.0,1.05 tỷ
268588,"Bình Tân, TP Hồ Chí Minh",32,1.0,2.0,0,2.0,3.05 tỷ
268583,"Phú Nhuận, TP Hồ Chí Minh",1226,4.0,3.0,0,3.0,3260 tỷ
268582,"Từ Sơn, Bắc Ninh",120,,,0,,7.1 tỷ
268579,"Quận 11, TP Hồ Chí Minh",33,,2.0,1,2.0,2.95 tỷ
268577,"Thuận An, Bình Dương",60,4.0,4.0,0,7.0,3.3 tỷ
268576,"Cầu Giấy, Hà Nội",35,3.0,4.0,0,,4.55 tỷ
268575,"Tân Phú, TP Hồ Chí Minh",53,1.0,1.0,0,,4.3 tỷ
268574,"Quận 12, TP Hồ Chí Minh",72,3.0,3.0,1,3.0,5.2 tỷ
268571,"Quận 8, TP Hồ Chí Minh",40,3.0,2.0,0,,3000000 tỷ
268570,"Tân Phú, TP Hồ Chí Minh",58,2.0,2.0,1,2.0,5.5 tỷ
268567,"Gò Vấp, TP Hồ Chí Minh",60,3.0,2.0,1,,5 tỷ
268566,"Bình Thạnh, TP Hồ Chí Minh",35,2.0,2.0,0,2.0,3.5 tỷ
268565,"Hà Đông, Hà Nội",43,,,1,,4400 tỷ
268564,"Bình Thạnh, TP Hồ Chí Minh",100,5.0,6.0,1,4.0,3.9 tỷ
268563,"Phú Nhuận, TP Hồ Chí Minh",132,6.0,4.0,1,4.0,3.6 tỷ
268562,"Gò Vấp, TP Hồ Chí Minh",42,3.0,1.0,0,,4.6 tỷ
268559,"Nam Từ Liêm, Hà Nội",30,1.0,,0,5.0,6.8 tỷ
268557,"Bắc Từ Liêm, Hà Nội",39,,,1,5.0,7.5 tỷ
