,ID,Location,Area,Bedroom,Bathroom,Frontage,Floors,Price
1,268184,"Quận 12, TP Hồ Chí Minh",130,7,6,0,3,9.2 tỷ
2,267895,"Quận 6, TP Hồ Chí Minh",189,NULL,NULL,1,NULL,24 tỷ
3,268639,"Gò Vấp, TP Hồ Chí Minh",52,4,5,0,6,9.8 tỷ
4,268638,"Gò Vấp, TP Hồ Chí Minh",105,5,2,1,4,8 tỷ
5,268637,"Sơn Trà, Đà Nẵng",115,3,2,1,2,6.2 tỷ
6,268632,"Hồng Bàng, Hải Phòng",48,4,5,0,5,5.9 tỷ
7,268623,"Long Biên, Hà Nội",36,NULL,1,0,4,3.4 tỷ
8,268621,"Tân Bình, TP Hồ Chí Minh",48,3,NULL,0,3,5.5 tỷ
9,268620,"Hồng Bàng, Hải Phòng",78,4,4,1,4,13.2 tỷ
10,268619,"Thủ Đức, TP Hồ Chí Minh",56,2,2,1,2,4700000 tỷ
11,268618,"Bình Tân, TP Hồ Chí Minh",36,NULL,NULL,1,3,3.45 tỷ
12,268617,"Bình Tân, TP Hồ Chí Minh",50,NULL,NULL,1,5,5.5 tỷ
13,268616,"Quận 9, TP Hồ Chí Minh",106,3,2,0,2,4900000 tỷ
14,268613,"Bình Tân, TP Hồ Chí Minh",36,NULL,NULL,1,3,3.5 tỷ
15,268612,"Bình Tân, TP Hồ Chí Minh",50,4,NULL,1,7,5.9 tỷ
16,268609,"Bình Thạnh, TP Hồ Chí Minh",35,2,3,0,3,3.88 tỷ
17,268608,"Bình Chánh, TP Hồ Chí Minh",65,3,3,1,2,2.7 tỷ
18,268600,"Tân Phú, TP Hồ Chí Minh",42,2,2,1,NULL,3.2 tỷ
19,268599,"Quận 11, TP Hồ Chí Minh",20,NULL,NULL,1,2,2.5 tỷ
20,268598,"Tân Phú, TP Hồ Chí Minh",30,2,2,0,3,4.1 tỷ
21,268596,"Tân Bình, TP Hồ Chí Minh",40,2,2,0,3,4900000000 tỷ
22,268595,"Đống Đa, Hà Nội",60,4,3,0,4,10.3 tỷ
23,268594,"Đống Đa, Hà Nội",51,4,6,0,7,12.8 tỷ
24,268592,"Tân Uyên, Bình Dương",120,NULL,NULL,1,2,1.05 tỷ
25,268588,"Bình Tân, TP Hồ Chí Minh",32,1,2,0,2,3.05 tỷ
26,268583,"Phú Nhuận, TP Hồ Chí Minh",1226,4,3,0,3,3260 tỷ
27,268582,"Từ Sơn, Bắc Ninh",120,NULL,NULL,0,NULL,7.1 tỷ
28,268579,"Quận 11, TP Hồ Chí Minh",33,NULL,2,1,2,2.95 tỷ
29,268577,"Thuận An, Bình Dương",60,4,4,0,7,3.3 tỷ
30,268576,"Cầu Giấy, Hà Nội",35,3,4,0,NULL,4.55 tỷ
31,268575,"Tân Phú, TP Hồ Chí Minh",53,1,1,0,NULL,4.3 tỷ
32,268574,"Quận 12, TP Hồ Chí Minh",72,3,3,1,3,5.2 tỷ
33,268573,"Quận 11, TP Hồ Chí Minh",26,2,2,0,2,Thỏa thuận
34,268571,"Quận 8, TP Hồ Chí Minh",40,3,2,0,NULL,3000000 tỷ
35,268570,"Tân Phú, TP Hồ Chí Minh",58,2,2,1,2,5.5 tỷ
36,268567,"Gò Vấp, TP Hồ Chí Minh",60,3,2,1,NULL,5 tỷ
37,268566,"Bình Thạnh, TP Hồ Chí Minh",35,2,2,0,2,3.5 tỷ
38,268565,"Hà Đông, Hà Nội",43,NULL,NULL,1,NULL,4400 tỷ
39,268564,"Bình Thạnh, TP Hồ Chí Minh",100,5,6,1,4,3.9 tỷ
40,268563,"Phú Nhuận, TP Hồ Chí Minh",132,6,4,1,4,3.6 tỷ
41,268562,"Gò Vấp, TP Hồ Chí Minh",42,3,1,0,NULL,4.6 tỷ
42,268559,"Nam Từ Liêm, Hà Nội",30,1,NULL,0,5,6.8 tỷ
43,268558,"Nam Từ Liêm, Hà Nội",52,2,NULL,1,5,Thỏa thuận
44,268557,"Bắc Từ Liêm, Hà Nội",39,NULL,NULL,1,5,7.5 tỷ
45,268556,"Bắc Từ Liêm, Hà Nội",33,1,NULL,0,5,Thỏa thuận
46,268550,"Bình Thạnh, TP Hồ Chí Minh",108,3,2,0,3,11.2 tỷ
47,268549,"Gò Vấp, TP Hồ Chí Minh",38,2,2,0,2,2.7 tỷ
48,268544,"Bình Tân, TP Hồ Chí Minh",26,2,2,0,2,2.3 tỷ
49,268543,"Tân Phú, TP Hồ Chí Minh",60,2,2,1,2,4.65 tỷ
50,268542,"Vĩnh Cửu, Đồng Nai",96,NULL,NULL,0,NULL,820 triệu
51,268541,"Thủ Đức, TP Hồ Chí Minh",20,NULL,NULL,0,2,2150000 tỷ
52,268539,"Thanh Xuân, Hà Nội",42,4,3,0,NULL,6.8 triệu
53,268535,"Hóc Môn, TP Hồ Chí Minh",70,2,2,1,NULL,600 triệu
54,268534,"Thuận An, Bình Dương",46,3,3,0,2,2.45 tỷ
55,268533,"Long Biên, Hà Nội",48,6,5,1,5,4.8 tỷ
56,268524,"Thanh Xuân, Hà Nội",45,4,5,0,NULL,6.3 tỷ
57,268512,"Gia Lâm, Hà Nội",71,NULL,NULL,1,5,15.5 tỷ
58,268511,"Đống Đa, Hà Nội",36,4,5,1,2,5.5 tỷ
59,268510,"Bình Tân, TP Hồ Chí Minh",41,3,2,1,2,5.2 tỷ
60,268509,"Thanh Xuân, Hà Nội",26,3,4,1,5,3.8 tỷ
61,268508,"Tân Bình, TP Hồ Chí Minh",66,NULL,NULL,1,5,8.5 tỷ
62,268507,"Cầu Giấy, Hà Nội",30,3,4,1,NULL,3.5 tỷ
63,268506,"Bình Tân, TP Hồ Chí Minh",100,3,2,1,2,4.8 tỷ
64,268505,"Hai Bà Trưng, Hà Nội",47,5,4,0,2,4.6 tỷ
65,268503,"Nam Từ Liêm, Hà Nội",50,4,3,1,3,5.15 tỷ
66,268502,"Bắc Từ Liêm, Hà Nội",33,2,NULL,0,3,Thỏa thuận
67,268500,"Thanh Xuân, Hà Nội",42,4,NULL,0,4,Thỏa thuận
68,268499,"Biên Hòa, Đồng Nai",72,4,2,0,4,3.57 tỷ
69,268497,"Thanh Xuân, Hà Nội",25,NULL,NULL,0,2,Thỏa thuận
70,268496,"Thanh Xuân, Hà Nội",44,NULL,NULL,1,2,2.8 tỷ
71,268493,"Hai Bà Trưng, Hà Nội",93.5,4,6,1,7,14 tỷ
72,268492,"Nam Từ Liêm, Hà Nội",24,3,4,0,NULL,3.59 tỷ
73,268490,"Hồng Bàng, Hải Phòng",48,4,3,0,4,3.25 tỷ
74,268485,"Long Biên, Hà Nội",53,4,5,0,4,3.45 tỷ
75,268481,"Hồng Bàng, Hải Phòng",50,4,3,0,4,3.2 tỷ
76,268477,"Gò Vấp, TP Hồ Chí Minh",47,4,6,0,4,8.8 tỷ
77,268476,"Quận 3, TP Hồ Chí Minh",35,2,1,0,2,75 tỷ
78,268474,"Quận 9, TP Hồ Chí Minh",88,3,2,0,4,6.5 tỷ
79,268472,"Hoàng Mai, Hà Nội",30,3,4,1,5,3.99 tỷ
80,268468,"Quận 12, TP Hồ Chí Minh",60,2,2,0,2,4 tỷ
81,268466,"Tân Bình, TP Hồ Chí Minh",27,2,2,1,3,2.85 tỷ
82,268465,"Cầu Giấy, Hà Nội",45,NULL,NULL,1,5,6.5 tỷ
83,268464,"Quận 12, TP Hồ Chí Minh",60,2,2,0,2,5 tỷ
84,268463,"Quận 12, TP Hồ Chí Minh",53,2,3,0,2,4 tỷ
85,268462,"Quận 12, TP Hồ Chí Minh",64,3,3,0,3,4 tỷ
86,268460,"Quận 12, TP Hồ Chí Minh",60,2,2,0,NULL,4 tỷ
87,268459,"Lê Chân, Hải Phòng",42,3,2,0,5,Thỏa thuận
88,268458,"Quận 11, TP Hồ Chí Minh",65,NULL,NULL,1,NULL,4.8 tỷ
89,268457,"Hà Đông, Hà Nội",36,4,NULL,0,4,2.7 tỷ
90,268456,"Tân Phú, TP Hồ Chí Minh",38,2,2,0,2,4.1 tỷ
91,268455,"Hà Đông, Hà Nội",35,4,NULL,0,4,3.4 tỷ
92,268454,"Hà Đông, Hà Nội",51,NULL,NULL,0,NULL,4.95 tỷ
93,268453,"Hà Đông, Hà Nội",35,4,2,0,4,6.65 tỷ
94,268452,"Hà Đông, Hà Nội",49,4,NULL,0,4,5.8 tỷ
95,268451,"Hà Đông, Hà Nội",57,NULL,NULL,0,7,9.1 tỷ
96,268450,"Hà Đông, Hà Nội",38,4,NULL,1,5,5.3 tỷ
97,268449,"Hà Đông, Hà Nội",93,NULL,NULL,0,4,7.85 tỷ
98,268448,"Hà Đông, Hà Nội",30,2,NULL,0,23,2.75 tỷ
99,268447,"Hà Đông, Hà Nội",30,2,NULL,0,23,2.75 tỷ
100,268446,"Nam Từ Liêm, Hà Nội",65,3,NULL,1,NULL,7.3 tỷ
101,268445,"Nam Từ Liêm, Hà Nội",30,1,NULL,0,5,Thỏa thuận
102,268444,"Cầu Giấy, Hà Nội",40,4,5,1,6,5500 tỷ
103,268442,"Hóc Môn, TP Hồ Chí Minh",53.2,2,2,1,2,1.45 tỷ
104,268441,"Bình Tân, TP Hồ Chí Minh",60,2,2,0,5,3.75 tỷ
105,268440,"Bình Tân, TP Hồ Chí Minh",60,4,4,0,5,5.45 tỷ
106,268439,"Hoàng Mai, Hà Nội",35,4,3,1,3,3.75 tỷ
107,268437,"Bình Thạnh, TP Hồ Chí Minh",26,2,2,0,2,Thỏa thuận
108,268434,"Thanh Xuân, Hà Nội",45,4,5,0,NULL,7.18 tỷ
109,268433,"Biên Hòa, Đồng Nai",41,2,NULL,0,NULL,1.3 tỷ
110,268432,"Quận 9, TP Hồ Chí Minh",54,4,3,0,5,4.9 tỷ
111,268431,"Biên Hòa, Đồng Nai",90,2,NULL,0,NULL,2 tỷ
